protocol,problem,parameter,value,lambda_1,stagnation_limit,seed,migd,tail_igd,n_evals,pitstop_count,redeployment_count,environment_change_count,change_response_count,replaced_count,runtime_sec
moderate_t10_n10,df9,lambda_1,0.1,0.1,8,2,0.134226993503615,0.14798238235273237,12220,6,6,6,6,48,1.0755668000019796
moderate_t10_n10,df9,lambda_1,0.1,0.1,8,3,0.1424197113093295,0.09477898958789885,12220,6,6,6,6,48,1.080455699997401
moderate_t10_n10,df9,lambda_1,0.1,0.1,8,4,0.1687275172701382,0.11069164183180202,12220,6,6,6,6,48,1.0726265999983298
moderate_t10_n10,df9,lambda_1,0.1,0.1,8,5,0.18249455066091783,0.1318813930032277,12220,6,6,6,6,48,1.0498803000009502
moderate_t10_n10,df9,lambda_1,0.1,0.1,8,6,0.16558831868749888,0.11182132226627342,12208,5,6,6,6,48,1.0772873999994772
moderate_t10_n10,df9,lambda_1,0.1,0.1,8,7,0.18636970610589404,0.10586434349928417,12220,6,6,6,6,48,1.0921906000003219
moderate_t10_n10,df9,lambda_1,0.1,0.1,8,8,0.18735511544478928,0.17039130098972335,12220,6,6,6,6,48,1.0867390999992494
moderate_t10_n10,df9,lambda_1,0.1,0.1,8,9,0.14335467262378657,0.09813001817218567,12220,6,6,6,6,48,1.068738799996936
moderate_t10_n10,df1,lambda_1,0.12,0.12,8,0,0.09308865633666157,0.022537638817784714,12196,4,6,6,6,48,0.9620310999998765
moderate_t10_n10,df1,lambda_1,0.12,0.12,8,1,0.10537431940203845,0.020561685271831987,12196,4,6,6,6,48,0.9695577999991656
moderate_t10_n10,df1,lambda_1,0.12,0.12,8,2,0.08034508130730453,0.014985261072058133,12220,6,6,6,6,48,0.9669876000007207
moderate_t10_n10,df1,lambda_1,0.12,0.12,8,3,0.08668264011238244,0.021390711317377638,12220,6,6,6,6,48,0.9776844000007259
moderate_t10_n10,df1,lambda_1,0.12,0.12,8,4,0.10899891250516654,0.019226948220892943,12196,4,6,6,6,48,0.9576610000003711
moderate_t10_n10,df1,lambda_1,0.12,0.12,8,5,0.09001758839137092,0.016107971090971136,12220,6,6,6,6,48,0.9684950999981083
moderate_t10_n10,df1,lambda_1,0.12,0.12,8,6,0.09678053153818163,0.02329588756567413,12196,4,6,6,6,48,0.9718238999994355
