protocol,problem,algorithm,mean,std,ci95_low,ci95_high
moderate_t10_n10,df9,PPS-DMOEA,0.3872190801664986,0.03164372754442265,0.37240935980288203,0.40202880053011525
severe_t10_n20,df1,DNSGA-II-A,0.1312062328419239,0.018277644132107963,0.12265203207268086,0.13976043361116694
severe_t10_n20,df1,DNSGA-II-B,0.1277130862500197,0.01803539037534439,0.11927226372895136,0.13615390877108804
severe_t10_n20,df1,FITO,0.08590892242585428,0.018408112251058095,0.07729366069736408,0.0945241841543445
severe_t10_n20,df1,KGB-DMOEA,0.15237380837485698,0.01813967147076544,0.14388418079881438,0.16086343595089964
severe_t10_n20,df1,MDDM-DMOEA,0.1145741592230997,0.011099260514884982,0.10937954540152574,0.11976877304467363
severe_t10_n20,df1,NSGA-II,0.09128546922992062,0.011635434634419555,0.08583991819605498,0.09673102026378626
severe_t10_n20,df1,PPS-DMOEA,0.11585900027838576,0.011052300167974196,0.11068636457569654,0.12103163598107498
severe_t10_n20,df2,DNSGA-II-A,0.10709059916050837,0.011767412099291597,0.10158328077175983,0.1125979175492569
severe_t10_n20,df2,DNSGA-II-B,0.2208440042218065,0.018308572374348974,0.21227532858962941,0.2294126798539836
severe_t10_n20,df2,FITO,0.18784327499631068,0.025162486650839973,0.17606686874236865,0.1996196812502527
severe_t10_n20,df2,KGB-DMOEA,0.11321058985779495,0.012569597418241946,0.10732783718315908,0.11909334253243081
severe_t10_n20,df2,MDDM-DMOEA,0.20795247788344456,0.02640743150467487,0.19559341950270948,0.22031153626417965
severe_t10_n20,df2,NSGA-II,0.0658674096460837,0.011793832712670222,0.06034772602964752,0.07138709326251988
severe_t10_n20,df2,PPS-DMOEA,0.2146617385935353,0.021881263657782212,0.20442099197102065,0.22490248521605005
severe_t10_n20,df3,DNSGA-II-A,0.5378451031360652,0.11686285270659148,0.48315160449405126,0.592538601778079
severe_t10_n20,df3,DNSGA-II-B,0.5235353440357807,0.1258892228005479,0.4646173741521172,0.5824533139194441
severe_t10_n20,df3,FITO,0.2510385733769941,0.13590987966256987,0.18743079172011373,0.31464635503387445
severe_t10_n20,df3,KGB-DMOEA,0.4450190533955244,0.057403441633384185,0.41815341573301557,0.4718846910580332
severe_t10_n20,df3,MDDM-DMOEA,0.4294510905048533,0.1232663351271683,0.3717606698387528,0.48714151117095394
severe_t10_n20,df3,NSGA-II,0.4287968899741278,0.11837474604142043,0.37339580347044365,0.4841979764778118
severe_t10_n20,df3,PPS-DMOEA,0.4438995211013938,0.11938339757267703,0.3880263711500241,0.4997726710527635
severe_t10_n20,df4,DNSGA-II-A,0.8696680011592207,0.12489561806882092,0.8112150526042925,0.9281209497141489
severe_t10_n20,df4,DNSGA-II-B,0.8444482718549425,0.11857754697157791,0.7889522715943094,0.8999442721155757
severe_t10_n20,df4,FITO,0.38885916876710047,0.10366832412909022,0.34034089958527647,0.4373774379489245
severe_t10_n20,df4,KGB-DMOEA,0.8726824008998767,0.11982969882900382,0.8166003755309428,0.9287644262688106
severe_t10_n20,df4,MDDM-DMOEA,0.7627114675333837,0.10676617360205867,0.7127433601692901,0.8126795748974773
