family,protocol,problem,baseline,fito_mean,baseline_mean,mann_whitney_u,p_value,fito_better,cliffs_delta,fito_ci95_low,fito_ci95_high,baseline_ci95_low,baseline_ci95_high,holm_p_value,holm_family_size,holm_scope
dynamic_budget,moderate_t10_n10,df3,DNSGA-II-B,0.336428106480737,0.6509883565449371,15.0,6.014797005320149e-07,True,-0.925,0.28221883904060324,0.3906373739208708,0.5979640075234245,0.7040127055664498,3.969766023511298e-05,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df3,KGB-DMOEA,0.336428106480737,0.5536576858439289,35.0,8.597444817571517e-06,True,-0.825,0.28221883904060324,0.3906373739208708,0.5179031055743868,0.5894122661134711,0.0004040799064258613,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df3,MDDM-DMOEA,0.336428106480737,0.5418256757285144,47.0,3.7051159705629385e-05,True,-0.765,0.28221883904060324,0.3906373739208708,0.47380345562056814,0.6098478958364606,0.0014820463882251754,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df3,NSGA-II,0.336428106480737,0.4656946796662245,76.0,0.0008357168217272527,True,-0.62,0.28221883904060324,0.3906373739208708,0.4095958720555656,0.5217934872768835,0.01922148689972681,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df3,PPS-DMOEA,0.336428106480737,0.576045856754068,37.0,1.1044712116768222e-05,True,-0.815,0.28221883904060324,0.3906373739208708,0.5049103800534379,0.6471813334546982,0.00049701204525457,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df4,DNSGA-II-A,0.4353231786588184,0.9161066215224771,0.0,6.79561512817336e-08,True,-1.0,0.38824452133342635,0.4824018359842105,0.8555668296470573,0.9766464133978969,1.1008896507640843e-05,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df4,DNSGA-II-B,0.4353231786588184,0.8956150338305603,2.0,9.172772711656482e-08,True,-0.99,0.38824452133342635,0.4824018359842105,0.8400562438510447,0.9511738238100759,1.1008896507640843e-05,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df4,KGB-DMOEA,0.4353231786588184,0.901821631356699,2.0,9.172772711656482e-08,True,-0.99,0.38824452133342635,0.4824018359842105,0.8418226678792279,0.9618205948341702,1.1008896507640843e-05,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df4,MDDM-DMOEA,0.4353231786588184,0.8071569524065682,6.0,1.657079293385879e-07,True,-0.97,0.38824452133342635,0.4824018359842105,0.7569335967561686,0.8573803080569677,1.342234227642562e-05,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df4,NSGA-II,0.4353231786588184,0.8062779504436712,5.0,1.4308531251443835e-07,True,-0.975,0.38824452133342635,0.4824018359842105,0.7529332964435339,0.8596226044438086,1.2305336876241698e-05,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df4,PPS-DMOEA,0.4353231786588184,0.8100176671962377,3.0,1.0645689837502488e-07,True,-0.985,0.38824452133342635,0.4824018359842105,0.7600606018905965,0.8599747325018788,1.1008896507640843e-05,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df5,DNSGA-II-A,0.08450463341828335,0.19196910940108172,0.0,6.79561512817336e-08,True,-1.0,0.08008375904131318,0.08892550779525352,0.1861210583609637,0.19781716044119974,1.1008896507640843e-05,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df5,DNSGA-II-B,0.08450463341828335,0.18177786589812592,0.0,6.79561512817336e-08,True,-1.0,0.08008375904131318,0.08892550779525352,0.17570302099883184,0.18785271079742,1.1008896507640843e-05,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df5,KGB-DMOEA,0.08450463341828335,0.19013359146387923,0.0,6.79561512817336e-08,True,-1.0,0.08008375904131318,0.08892550779525352,0.18093363656333616,0.1993335463644223,1.1008896507640843e-05,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df5,MDDM-DMOEA,0.08450463341828335,0.16261111661394062,0.0,6.79561512817336e-08,True,-1.0,0.08008375904131318,0.08892550779525352,0.15547608320124146,0.16974615002663979,1.1008896507640843e-05,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df5,NSGA-II,0.08450463341828335,0.1419953291877349,4.0,1.2346350154956704e-07,True,-0.98,0.08008375904131318,0.08892550779525352,0.1322077029712168,0.15178295540425296,1.1111715139461034e-05,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df5,PPS-DMOEA,0.08450463341828335,0.17156765134000984,0.0,6.79561512817336e-08,True,-1.0,0.08008375904131318,0.08892550779525352,0.16344575057114577,0.1796895521088739,1.1008896507640843e-05,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df6,DNSGA-II-A,7.335842207147141,11.133429603148793,22.0,1.575674219696402e-06,True,-0.89,6.4494854086762095,8.222199005618073,10.695178724964103,11.571680481333482,8.981343052269492e-05,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df6,DNSGA-II-B,7.335842207147141,12.712979873270283,4.0,1.2346350154956704e-07,True,-0.98,6.4494854086762095,8.222199005618073,11.989987753304899,13.435971993235668,1.1111715139461034e-05,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df6,KGB-DMOEA,7.335842207147141,10.885658859826922,30.0,4.540079639937965e-06,True,-0.85,6.4494854086762095,8.222199005618073,10.412585335817512,11.358732383836331,0.0002451643005566501,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df6,MDDM-DMOEA,7.335842207147141,9.804739083427261,59.0,0.0001443825593152782,True,-0.705,6.4494854086762095,8.222199005618073,9.42721066378104,10.182267503073483,0.004909007016719459,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df6,NSGA-II,7.335842207147141,7.25398286311732,198.0,0.9676346083712113,False,-0.01,6.4494854086762095,8.222199005618073,6.4160097045022955,8.091956021732345,1.0,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df6,PPS-DMOEA,7.335842207147141,10.999837268035495,31.0,5.1657788244971414e-06,True,-0.845,6.4494854086762095,8.222199005618073,10.257361913937187,11.742312622133804,0.00026862049887385137,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df7,DNSGA-II-A,0.18517194395113987,0.2836508911667981,61.0,0.00017936378528946248,True,-0.695,0.1222517255265657,0.24809216237571402,0.2562562990786662,0.31104548325493,0.0057396411292627994,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df7,DNSGA-II-B,0.18517194395113987,0.26707225665266565,61.0,0.00017936378528946248,True,-0.695,0.1222517255265657,0.24809216237571402,0.24242791126810223,0.2917166020372291,0.0057396411292627994,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df7,KGB-DMOEA,0.18517194395113987,0.3156927100200427,58.0,0.00012940533589153548,True,-0.71,0.1222517255265657,0.24809216237571402,0.286751593282659,0.3446338267574264,0.004658592092095277,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df7,MDDM-DMOEA,0.18517194395113987,0.18211121095627186,141.0,0.11355139298344043,False,-0.295,0.1222517255265657,0.24809216237571402,0.1475608890465469,0.21666153286599682,1.0,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df7,NSGA-II,0.18517194395113987,0.1730947476655408,96.0,0.005115262023126529,False,-0.52,0.1222517255265657,0.24809216237571402,0.16157999810832005,0.18460949722276157,0.09718997843940405,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df7,PPS-DMOEA,0.18517194395113987,0.2506440712530336,65.0,0.00027451078428318386,True,-0.675,0.1222517255265657,0.24809216237571402,0.22082371083125946,0.2804644316748078,0.007960812744212332,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df8,DNSGA-II-A,0.07278670149295041,0.09823114041248364,0.0,6.79561512817336e-08,True,-1.0,0.07066978762810752,0.0749036153577933,0.09447409491490216,0.10198818591006512,1.1008896507640843e-05,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df8,DNSGA-II-B,0.07278670149295041,0.09579955529251313,0.0,6.79561512817336e-08,True,-1.0,0.07066978762810752,0.0749036153577933,0.09248117556926273,0.09911793501576353,1.1008896507640843e-05,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df8,KGB-DMOEA,0.07278670149295041,0.1557198521644211,0.0,6.79561512817336e-08,True,-1.0,0.07066978762810752,0.0749036153577933,0.14550207730124984,0.16593762702759238,1.1008896507640843e-05,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df8,MDDM-DMOEA,0.07278670149295041,0.0872869952174686,6.0,1.657079293385879e-07,True,-0.97,0.07066978762810752,0.0749036153577933,0.08439094260363696,0.09018304783130025,1.342234227642562e-05,162,dynamic_budget_162_comparisons
dynamic_budget,moderate_t10_n10,df8,NSGA-II,0.07278670149295041,0.13899053091505392,0.0,6.79561512817336e-08,True,-1.0,0.07066978762810752,0.0749036153577933,0.13576019940443448,0.14222086242567336,1.1008896507640843e-05,162,dynamic_budget_162_comparisons
