protocol,problem,algorithm,mean,std,ci95_low,ci95_high
moderate_t10_n10,df1,DNSGA-II-A,0.1965966606785338,0.018436770613361953,0.187967986423621,0.20522533493344663
moderate_t10_n10,df1,DNSGA-II-B,0.2843290815935062,0.03260759700649518,0.2690682564357314,0.29958990675128094
moderate_t10_n10,df1,FITO,0.08989364308494055,0.015204882310449471,0.08277753911573081,0.09700974705415029
moderate_t10_n10,df1,KGB-DMOEA,0.18649940871092505,0.02095628909885457,0.17669156350756038,0.19630725391428971
moderate_t10_n10,df1,MDDM-DMOEA,0.2598034574019422,0.02297321582081155,0.24905166143600846,0.2705552533678761
moderate_t10_n10,df1,NSGA-II,0.1085298759651053,0.018329755692381922,0.09995128623491303,0.11710846569529756
moderate_t10_n10,df1,PPS-DMOEA,0.28176821674273855,0.028472646126649664,0.2684426081665702,0.29509382531890693
moderate_t10_n10,df2,DNSGA-II-A,0.13408757896799778,0.014048031057300183,0.12751289805134683,0.14066225988464873
moderate_t10_n10,df2,DNSGA-II-B,0.3083120465853072,0.029344401607217647,0.29457844388535753,0.322045649285257
moderate_t10_n10,df2,FITO,0.18404936644808084,0.02034327886847516,0.17452841886381654,0.19357031403234515
moderate_t10_n10,df2,KGB-DMOEA,0.13832962752129546,0.020307478132736697,0.1288254351971172,0.14783381984547372
moderate_t10_n10,df2,MDDM-DMOEA,0.2918561781200101,0.03292373307913934,0.27644739672584884,0.3072649595141713
moderate_t10_n10,df2,NSGA-II,0.11642670333957879,0.03637933998504328,0.0994006481305303,0.13345275854862726
moderate_t10_n10,df2,PPS-DMOEA,0.30617483888905916,0.03385436088540601,0.29033051027455015,0.3220191675035682
moderate_t10_n10,df3,DNSGA-II-A,0.6550068975692861,0.11924604304751368,0.5991980315144797,0.7108157636240923
moderate_t10_n10,df3,DNSGA-II-B,0.6401197600573773,0.12429685776763791,0.5819470399493952,0.6982924801653597
moderate_t10_n10,df3,FITO,0.2992286287943412,0.12151226041016132,0.24235914036573686,0.35609811722294554
moderate_t10_n10,df3,KGB-DMOEA,0.5589834784190015,0.05640415722759658,0.5325855202545121,0.585381436583491
moderate_t10_n10,df3,MDDM-DMOEA,0.6084627859911608,0.13155678043317906,0.5468923174862109,0.6700332544961108
moderate_t10_n10,df3,NSGA-II,0.537216357643709,0.11535508636873719,0.48322851536932593,0.5912041999180921
moderate_t10_n10,df3,PPS-DMOEA,0.6175027243935576,0.11599731842348643,0.5632143082652871,0.6717911405218279
moderate_t10_n10,df4,DNSGA-II-A,0.9748770027518245,0.16047709840459232,0.8997714087980084,1.049982596705641
moderate_t10_n10,df4,DNSGA-II-B,0.96366380525053,0.15203578080107777,0.8925088695443243,1.034818740956735
moderate_t10_n10,df4,FITO,0.344903964457776,0.049086136076674024,0.3219309456184041,0.367876983297148
moderate_t10_n10,df4,KGB-DMOEA,0.9577020314249334,0.14478201849124622,0.8899419609804747,1.0254621018693917
moderate_t10_n10,df4,MDDM-DMOEA,0.8962273412379098,0.15258047085319548,0.8248174827402797,0.96763719973554
moderate_t10_n10,df4,NSGA-II,0.9254200098163379,0.18868668620101559,0.837111922374628,1.0137280972580478
moderate_t10_n10,df4,PPS-DMOEA,0.9152092663968411,0.15792820458239487,0.8412965914722477,0.989121941321434
moderate_t10_n10,df5,DNSGA-II-A,0.2063957312548282,0.019414934035018493,0.19730926242674712,0.2154822000829093
moderate_t10_n10,df5,DNSGA-II-B,0.18998409786268444,0.015869052365877483,0.18255715273922168,0.1974110429861472
moderate_t10_n10,df5,FITO,0.061742298072908444,0.005792621140521803,0.05903126792821166,0.06445332821760524
moderate_t10_n10,df5,KGB-DMOEA,0.19484306935347434,0.012494582005100995,0.18899542497289198,0.2006907137340567
moderate_t10_n10,df5,MDDM-DMOEA,0.1826904770296546,0.01729335155140279,0.17459693936831386,0.1907840146909954
moderate_t10_n10,df5,NSGA-II,0.15170855884695317,0.018540193448081627,0.14303148121543877,0.16038563647846757
moderate_t10_n10,df5,PPS-DMOEA,0.18932109860427498,0.013047097856121893,0.18321486884563948,0.1954273283629105
moderate_t10_n10,df6,DNSGA-II-A,11.221604611070102,0.8364351300126326,10.830140920188471,11.613068301951733
moderate_t10_n10,df6,DNSGA-II-B,14.169430634096187,2.6059802290784275,12.949794344041997,15.38906692415037
moderate_t10_n10,df6,FITO,6.4833052954396155,1.8607624007416368,5.612441684968013,7.354168905911218
moderate_t10_n10,df6,KGB-DMOEA,10.990217610409841,1.1361747754845148,10.458471447272169,11.52196377354751
moderate_t10_n10,df6,MDDM-DMOEA,11.140160900351184,1.006830559568112,10.668949693649477,11.611372107052887
moderate_t10_n10,df6,NSGA-II,8.469482306817124,1.7302384554304273,7.6597057831339335,9.279258830500314
moderate_t10_n10,df6,PPS-DMOEA,12.527003515722164,1.344438726342545,11.897786823245005,13.156220208199324
moderate_t10_n10,df7,DNSGA-II-A,0.3077216387997707,0.07717329400589419,0.2716034254141323,0.34383985218540936
moderate_t10_n10,df7,DNSGA-II-B,0.29313487309122727,0.07399787738983643,0.258502800428289,0.32776694575416554
moderate_t10_n10,df7,FITO,0.12585113992689628,0.04247005581115677,0.10597454196581688,0.1457277378879757
moderate_t10_n10,df7,KGB-DMOEA,0.3268905301618465,0.06491270672076964,0.29651044825681516,0.3572706120668778
moderate_t10_n10,df7,MDDM-DMOEA,0.22048673789468412,0.10042692884564752,0.17348548840241282,0.2674879873869553
moderate_t10_n10,df7,NSGA-II,0.19473998543798382,0.03453451340230119,0.1785773356470051,0.2109026352289626
moderate_t10_n10,df7,PPS-DMOEA,0.27994690357125984,0.06831169840638102,0.24797604459006087,0.31191776255245884
moderate_t10_n10,df8,DNSGA-II-A,0.10385032243906178,0.00918196024350107,0.09955303276592833,0.10814761211219523
moderate_t10_n10,df8,DNSGA-II-B,0.10122518521839144,0.009981620979482023,0.09655364280057055,0.10589672763621233
